post_title;post_name;post_status;sku;downloadable;virtual;visibility;stock;stock_status;backorders;manage_stock;regular_price;sale_price;weight;length;width;height;tax_status;tax_class;tax:product_type;tax:product_cat;tax:product_tag;tax:product_brand;attribute:Color;attribute_data:Color;attribute:Size;attribute_data:Size;
Starter Kit eco detersivi 3 flaconi e 3 pastiglie Everdrop;;publish;;no;no;visible;;instock;no;no;;29.99;;;;;taxable;;variable;;;Everdrop;;;;;
Kit ricariche mix 9 pastiglie eco detersivo Everdrop;;publish;;no;no;visible;;instock;no;no;;14.99;;;;;taxable;;variable;;;Everdrop;;;;;
Dentifricio in capsule senza plastica, contenitore in vetro e capsule sufficienti per 2 mesi Smyle;;publish;;no;no;visible;;instock;no;no;;17.99;;;;;taxable;;variable;;;Smyle;;;;;
Ricarica dentifricio senza plastica, capsule sufficienti per 2 mes Smyle;;publish;;no;no;visible;;instock;no;no;;26.96;;;;;taxable;;variable;;;Smyle;;;;;
Detersivo in fogli 96 lavaggi Wave Classic 100% plastic free;;publish;;no;no;visible;;instock;no;no;;20.64;;;;;taxable;;variable;;;Wave;;;;;
Detersivo in fogli 96 lavaggi Wave Sensitive 100% plastic free;;publish;;no;no;visible;;instock;no;no;;20.64;;;;;taxable;;variable;;;Wave;;;;;
Lavaggio con Bio-Ceramiche equivalente a 1200 lavaggi Ewballs;;publish;;no;no;visible;;instock;no;no;;19.95;;;;;taxable;;variable;;;EWballs;;;;;
Rottolo multiuso riutilizzabile in Fibra di Bambù 20 Fogli Banbu;;publish;;no;no;visible;;instock;no;no;;12.50;;;;;taxable;;variable;;;Banbu;;;;;
Cotton Fioc riutilizzabile ed ecologico con custodia di origine vegetale (mais);;publish;;no;no;visible;;instock;no;no;;10.25;;;;;taxable;;variable;;;LastObject;;;;;
Cotton Fioc in Bambù ;;publish;;no;no;visible;;instock;no;no;;8.50;;;;;taxable;;variable;;;Banbu;;;;;
Deodorante Naturale in confezione Papertube (carta) Ben & Anna;;publish;;no;no;visible;;instock;no;no;;€8.95;;;;;taxable;;variable;;;Ben & Anna;;;;;
Superkit Pranzo Eco-sostenibile;;publish;;no;no;visible;;instock;no;no;;12.50;;;;;taxable;;variable;;;Banbu;;;;;
Fazzoletti riutilizzabili e lavabili in lavatrice;;publish;;no;no;visible;;instock;no;no;;21.25;;;;;taxable;;variable;;;LastObject;;;;;
Set 3 pelicolle 100% Plastic Free e riutilizzabili. Cotone, cera d'api e resina di conifere;;publish;;no;no;visible;;instock;no;no;;16.90;;;;;taxable;;variable;;;Gaia;;;;;
